D:\private\IMG\center_2021_01_27_21_17_16_655.jpg,D:\private\IMG\left_2021_01_27_21_17_16_655.jpg,D:\private\IMG\right_2021_01_27_21_17_16_655.jpg,0,0,0,1.370552E-05
D:\private\IMG\center_2021_01_27_21_17_16_727.jpg,D:\private\IMG\left_2021_01_27_21_17_16_727.jpg,D:\private\IMG\right_2021_01_27_21_17_16_727.jpg,0,0,0,7.119829E-07
D:\private\IMG\center_2021_01_27_21_17_16_799.jpg,D:\private\IMG\left_2021_01_27_21_17_16_799.jpg,D:\private\IMG\right_2021_01_27_21_17_16_799.jpg,0,0,0,5.259861E-06
D:\private\IMG\center_2021_01_27_21_17_16_871.jpg,D:\private\IMG\left_2021_01_27_21_17_16_871.jpg,D:\private\IMG\right_2021_01_27_21_17_16_871.jpg,0,0,0,8.508642E-07
D:\private\IMG\center_2021_01_27_21_17_16_945.jpg,D:\private\IMG\left_2021_01_27_21_17_16_945.jpg,D:\private\IMG\right_2021_01_27_21_17_16_945.jpg,0,0,0,9.644338E-07
D:\private\IMG\center_2021_01_27_21_17_17_017.jpg,D:\private\IMG\left_2021_01_27_21_17_17_017.jpg,D:\private\IMG\right_2021_01_27_21_17_17_017.jpg,0,0,0,2.615823E-06
D:\private\IMG\center_2021_01_27_21_17_17_089.jpg,D:\private\IMG\left_2021_01_27_21_17_17_089.jpg,D:\private\IMG\right_2021_01_27_21_17_17_089.jpg,0,0,0,3.475046E-06
D:\private\IMG\center_2021_01_27_21_17_17_162.jpg,D:\private\IMG\left_2021_01_27_21_17_17_162.jpg,D:\private\IMG\right_2021_01_27_21_17_17_162.jpg,0,0,0,3.209824E-06
D:\private\IMG\center_2021_01_27_21_17_17_236.jpg,D:\private\IMG\left_2021_01_27_21_17_17_236.jpg,D:\private\IMG\right_2021_01_27_21_17_17_236.jpg,0,0,0,6.998262E-07
D:\private\IMG\center_2021_01_27_21_17_17_307.jpg,D:\private\IMG\left_2021_01_27_21_17_17_307.jpg,D:\private\IMG\right_2021_01_27_21_17_17_307.jpg,0,0,0,1.134902E-05
D:\private\IMG\center_2021_01_27_21_17_17_379.jpg,D:\private\IMG\left_2021_01_27_21_17_17_379.jpg,D:\private\IMG\right_2021_01_27_21_17_17_379.jpg,0,0,0,1.557134E-05
D:\private\IMG\center_2021_01_27_21_17_17_453.jpg,D:\private\IMG\left_2021_01_27_21_17_17_453.jpg,D:\private\IMG\right_2021_01_27_21_17_17_453.jpg,0,0,0,4.141405E-06
D:\private\IMG\center_2021_01_27_21_17_17_526.jpg,D:\private\IMG\left_2021_01_27_21_17_17_526.jpg,D:\private\IMG\right_2021_01_27_21_17_17_526.jpg,0,0,0,5.326227E-06
D:\private\IMG\center_2021_01_27_21_17_17_598.jpg,D:\private\IMG\left_2021_01_27_21_17_17_598.jpg,D:\private\IMG\right_2021_01_27_21_17_17_598.jpg,0,0,0,6.988089E-06
D:\private\IMG\center_2021_01_27_21_17_17_672.jpg,D:\private\IMG\left_2021_01_27_21_17_17_672.jpg,D:\private\IMG\right_2021_01_27_21_17_17_672.jpg,0,0,0,8.28489E-06
D:\private\IMG\center_2021_01_27_21_17_17_744.jpg,D:\private\IMG\left_2021_01_27_21_17_17_744.jpg,D:\private\IMG\right_2021_01_27_21_17_17_744.jpg,0,0,0,1.949643E-05
D:\private\IMG\center_2021_01_27_21_17_17_816.jpg,D:\private\IMG\left_2021_01_27_21_17_17_816.jpg,D:\private\IMG\right_2021_01_27_21_17_17_816.jpg,0,0,0,3.329079E-06
D:\private\IMG\center_2021_01_27_21_17_17_887.jpg,D:\private\IMG\left_2021_01_27_21_17_17_887.jpg,D:\private\IMG\right_2021_01_27_21_17_17_887.jpg,0,0,0,1.167825E-05
